Protein(s),Protein Description(s),PSMs (PEC1),PSMs (PEC2),PSMs (PEC3),PSMs (PED1 1.5),PSMs (PED2 1.5),PSMs (PED3 1.5),PSMs (PED4 1:2),PSMs (PED5 1:2),PSMs (PED6 1:2),NSAF (PEC1),NSAF (PEC2),NSAF (PEC3),NSAF (PED1 1.5),NSAF (PED2 1.5),NSAF (PED3 1.5),NSAF (PED4 1:2),NSAF (PED5 1:2),NSAF (PED6 1:2)
"gi|220973703|gb|EED92033.1|,gi|224001218|ref|XP_002290281.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,1,2,1,0,1,0,0,7.51e-06,0.0,7.29e-06,1.93e-05,1e-05,0.0,7.67e-06,0.0,0.0
"gi|220974003|gb|EED92333.1|,gi|224001818|ref|XP_002290581.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,1,2,0,0,0,2,0,0.0,1.31e-05,1.25e-05,3.32e-05,0.0,0.0,0.0,2.6e-05,0.0
"gi|220974477|gb|EED92806.1|,gi|223999193|ref|XP_002289269.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,1.12e-05,1.17e-05,1.12e-05,8.92e-06,8.78e-06,9.28e-06
"gi|220974598|gb|EED92927.1|,gi|223999435|ref|XP_002289390.1|","Conserved Hypothetical Protein, partial [Thalassiosira pseudonana CCMP1335],, partial [Thalassiosira pseudonana CCMP1335]",1,0,1,0,0,0,1,2,1,3.72e-06,0.0,3.6e-06,0.0,0.0,0.0,3.79e-06,7.46e-06,3.94e-06
"gi|220975127|gb|EED93456.1|,gi|224000493|ref|XP_002289919.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,0,1,1,0,1,0,1,1,4.08e-05,0.0,3.96e-05,5.24e-05,0.0,5.22e-05,0.0,4.1e-05,4.33e-05
"gi|220975496|gb|EED93824.1|,gi|223997430|ref|XP_002288388.1|",predicted protein [Thalassiosira pseudonana CCMP1335],4,1,0,0,0,0,0,0,1,3.75e-05,9.51e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.94e-06
"gi|220975571|gb|EED93899.1|,gi|223997580|ref|XP_002288463.1|","chorismate mutase-like protein, partial [Thalassiosira pseudonana CCMP1335]",0,2,1,1,0,0,0,2,0,0.0,2.75e-05,1.32e-05,1.74e-05,0.0,0.0,0.0,2.72e-05,0.0
"gi|220975597|gb|EED93925.1|,gi|223997632|ref|XP_002288489.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,2,0,0,0,1,0,1,1,1.27e-05,2.57e-05,0.0,0.0,0.0,1.62e-05,0.0,1.27e-05,1.35e-05
"gi|220975605|gb|EED93933.1|,gi|223997648|ref|XP_002288497.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,1,1,1,1,0,0,1,0.0,1.34e-05,1.28e-05,1.7e-05,1.77e-05,1.69e-05,0.0,0.0,1.4e-05
"gi|220977037|gb|EED95364.1|,gi|223996495|ref|XP_002287921.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,1,0,2,0,1,0,0,5.63e-06,5.71e-06,5.46e-06,0.0,1.51e-05,0.0,5.75e-06,0.0,0.0
"gi|220977499|gb|EED95825.1|,gi|223993001|ref|XP_002286184.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,2,0,0,0,1,1,0,1.85e-05,0.0,1.79e-05,0.0,0.0,0.0,9.44e-06,9.29e-06,0.0
"gi|220977697|gb|EED96023.1|,gi|223993397|ref|XP_002286382.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,1,0,1,2,1,0.0,0.0,0.0,6.66e-06,6.93e-06,0.0,5.29e-06,1.04e-05,5.5e-06
"gi|220977761|gb|EED96087.1|,gi|223993525|ref|XP_002286446.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,1,2,0,2,0,0,1.82e-05,0.0,0.0,2.33e-05,4.86e-05,0.0,3.71e-05,0.0,0.0
"gi|220977867|gb|EED96193.1|,gi|223993737|ref|XP_002286552.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,2,1,2,0,0,0,1.03e-05,0.0,0.0,2.65e-05,1.38e-05,2.64e-05,0.0,0.0,0.0
"gi|220978111|gb|EED96437.1|,gi|223994225|ref|XP_002286796.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,1,0,0,0,1,2,0,1.2e-05,1.22e-05,1.17e-05,0.0,0.0,0.0,1.23e-05,2.42e-05,0.0
"gi|220978171|gb|EED96497.1|,gi|223994345|ref|XP_002286856.1|","hypothetical protein THAPSDRAFT_268060, partial [Thalassiosira pseudonana CCMP1335]",1,0,0,2,1,1,1,0,0,1.17e-05,0.0,0.0,3e-05,1.56e-05,1.49e-05,1.19e-05,0.0,0.0
"gi|220978280|gb|EED96606.1|,gi|223994563|ref|XP_002286965.1|",hypothetical protein THAPSDRAFT_39232 [Thalassiosira pseudonana CCMP1335],2,1,1,1,0,0,1,0,0,2.77e-05,1.4e-05,1.34e-05,1.78e-05,0.0,0.0,1.41e-05,0.0,0.0
"gi|220978307|gb|EED96633.1|,gi|223994617|ref|XP_002286992.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,1,0,2,0,0,0,1,0,4.45e-05,2.26e-05,0.0,5.72e-05,0.0,0.0,0.0,2.23e-05,0.0
"gi|220978392|gb|EED96718.1|,gi|223994787|ref|XP_002287077.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,2,0,3,1.83e-05,0.0,0.0,0.0,0.0,0.0,3.73e-05,0.0,5.81e-05
"gi|223992641|ref|XP_002286004.1|,gi|220977319|gb|EED95645.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,2,0,1,1,1,0,1,0.0,0.0,1.26e-05,0.0,8.68e-06,8.31e-06,6.63e-06,0.0,6.89e-06
"gi|223992731|ref|XP_002286049.1|,gi|220977364|gb|EED95690.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,1,2,0,0,1,1,1.08e-05,0.0,0.0,1.39e-05,2.88e-05,0.0,0.0,1.08e-05,1.14e-05
"gi|223992847|ref|XP_002286107.1|,gi|220977422|gb|EED95748.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,2,1,1,0,1,0,1,0.0,0.0,2.36e-05,1.56e-05,1.63e-05,0.0,1.24e-05,0.0,1.29e-05
"gi|223993227|ref|XP_002286297.1|,gi|220977612|gb|EED95938.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,2,2,1,0,0,0,1.08e-05,0.0,0.0,2.77e-05,2.88e-05,1.38e-05,0.0,0.0,0.0
"gi|223993321|ref|XP_002286344.1|,gi|220977659|gb|EED95985.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,1,1,2,1,0,0.0,3.01e-05,0.0,0.0,3.97e-05,3.8e-05,6.07e-05,2.99e-05,0.0
"gi|223993473|ref|XP_002286420.1|,gi|220977735|gb|EED96061.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,1,0,1,0,1,1,1,0,6.93e-06,7.02e-06,0.0,8.9e-06,0.0,8.86e-06,7.07e-06,6.95e-06,0.0
"gi|223994059|ref|XP_002286713.1|,gi|220978028|gb|EED96354.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,1,0,0,0,1,1,1,8.55e-06,8.67e-06,8.29e-06,0.0,0.0,0.0,8.72e-06,8.58e-06,9.07e-06
"gi|223994459|ref|XP_002286913.1|,gi|220978228|gb|EED96554.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,2,3,0,0,0,0,0,0,1.45e-05,2.94e-05,4.22e-05,0.0,0.0,0.0,0.0,0.0,0.0
"gi|223994939|ref|XP_002287153.1|,gi|220976269|gb|EED94596.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,2,0,1,0,1,1,0,1.07e-05,0.0,2.08e-05,0.0,1.43e-05,0.0,1.09e-05,1.08e-05,0.0
"gi|223995031|ref|XP_002287199.1|,gi|220976315|gb|EED94642.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,2,2,0,0,1,0.0,0.0,0.0,2.51e-05,5.22e-05,5e-05,0.0,0.0,2.07e-05
"gi|223995089|ref|XP_002287228.1|,gi|220976344|gb|EED94671.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,0,0,1,1,2,1,0,0,3.93e-05,0.0,0.0,5.04e-05,5.25e-05,0.0001,4.01e-05,0.0,0.0
"gi|223995109|ref|XP_002287238.1|,gi|220976354|gb|EED94681.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,1,1,2,1,0,0,0.0,4.23e-06,0.0,5.36e-06,5.58e-06,1.07e-05,4.26e-06,0.0,0.0
"gi|223995237|ref|XP_002287302.1|,gi|220976418|gb|EED94745.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,1,1,1,0,2,0.0,0.0,0.0,1.97e-05,2.05e-05,1.96e-05,1.57e-05,0.0,3.26e-05
"gi|223995639|ref|XP_002287493.1|,gi|220976609|gb|EED94936.1|",rag-type gtp-binding protein [Thalassiosira pseudonana CCMP1335],3,1,1,0,0,0,0,0,1,3.82e-05,1.29e-05,1.23e-05,0.0,0.0,0.0,0.0,0.0,1.35e-05
"gi|223995725|ref|XP_002287536.1|,gi|220976652|gb|EED94979.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,1,2,0,1,0,0,1,0.0,9.7e-06,9.28e-06,2.46e-05,0.0,1.22e-05,0.0,0.0,1.01e-05
"gi|223995997|ref|XP_002287672.1|,gi|220976788|gb|EED95115.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,0,0,0,1,2,0,1,3.78e-05,0.0,0.0,0.0,0.0,2.42e-05,3.86e-05,0.0,2.01e-05
"gi|223996443|ref|XP_002287895.1|,gi|220977011|gb|EED95338.1|",hydroxyacylglutathione hydrolase [Thalassiosira pseudonana CCMP1335],1,0,0,2,1,0,0,1,1,1.59e-05,0.0,0.0,4.08e-05,2.12e-05,0.0,0.0,1.6e-05,1.69e-05
"gi|223996915|ref|XP_002288131.1|,gi|220977247|gb|EED95574.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,1,0,0,1,2,1,0.0,1.27e-05,0.0,1.61e-05,0.0,0.0,1.28e-05,2.51e-05,1.33e-05
"gi|223996950|ref|XP_002288148.1|,gi|220975256|gb|EED93584.1|","probable cysteinyl-trna synthetase, partial [Thalassiosira pseudonana CCMP1335]",1,1,1,1,1,1,0,0,0,8.78e-06,8.9e-06,8.52e-06,1.13e-05,1.17e-05,1.12e-05,0.0,0.0,0.0
"gi|223997078|ref|XP_002288212.1|,gi|220975320|gb|EED93648.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,1,0,1,2,1,0,1.31e-05,0.0,0.0,1.68e-05,0.0,1.67e-05,2.67e-05,1.31e-05,0.0
"gi|223997274|ref|XP_002288310.1|,gi|220975418|gb|EED93746.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,2,2,0,0,1,0,0.0,1.87e-05,0.0,4.73e-05,4.92e-05,0.0,0.0,1.85e-05,0.0
"gi|223997630|ref|XP_002288488.1|,gi|220975596|gb|EED93924.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,1,1,0,1,2,0.0,0.0,0.0,6.42e-06,6.68e-06,6.39e-06,0.0,5.02e-06,1.06e-05
"gi|223998448|ref|XP_002288897.1|,gi|220976005|gb|EED94333.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,1,1,1,1,1,0,0,1.32e-05,0.0,1.28e-05,1.69e-05,1.76e-05,1.68e-05,1.34e-05,0.0,0.0
"gi|223998562|ref|XP_002288954.1|,gi|220976062|gb|EED94390.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,2,2,0,0,1,0,0,0,5.03e-06,1.02e-05,9.75e-06,0.0,0.0,6.43e-06,0.0,0.0,0.0
"gi|223999223|ref|XP_002289284.1|,gi|220974492|gb|EED92821.1|","probable eh domain-containing protein, partial [Thalassiosira pseudonana CCMP1335]",0,1,2,0,0,0,0,1,2,0.0,1.1e-05,2.11e-05,0.0,0.0,0.0,0.0,1.09e-05,2.31e-05
"gi|223999585|ref|XP_002289465.1|,gi|220974673|gb|EED93002.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",2,0,0,1,1,2,0,0,0,4.93e-05,0.0,0.0,3.16e-05,3.29e-05,6.3e-05,0.0,0.0,0.0
"gi|223999729|ref|XP_002289537.1|,gi|220974745|gb|EED93074.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,2,0,1,1,2,0,0,0,0.0,1.92e-05,0.0,1.22e-05,1.26e-05,2.42e-05,0.0,0.0,0.0
"gi|223999789|ref|XP_002289567.1|,gi|220974775|gb|EED93104.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,1,1,1,2,0.0,0.0,0.0,7.69e-06,0.0,7.66e-06,6.11e-06,6.01e-06,1.27e-05
"gi|224000611|ref|XP_002289978.1|,gi|220975186|gb|EED93515.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,1,0,2,2,0,0,0,1,0.0,1.77e-05,0.0,4.47e-05,4.66e-05,0.0,0.0,0.0,1.85e-05
"gi|224000784|ref|XP_002290064.1|,gi|220973486|gb|EED91816.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,1,0,0,1,2,1,0.0,9.57e-06,0.0,1.21e-05,0.0,0.0,9.63e-06,1.9e-05,1e-05
"gi|224000816|ref|XP_002290080.1|,gi|220973502|gb|EED91832.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,0,1,0,0,0,0,2,2,8.43e-06,0.0,8.17e-06,0.0,0.0,0.0,0.0,1.69e-05,1.79e-05
"gi|224001420|ref|XP_002290382.1|,gi|220973804|gb|EED92134.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,2,0,0,1,1,1,0,0,6.8e-06,1.38e-05,0.0,0.0,9.09e-06,8.7e-06,6.94e-06,0.0,0.0
"gi|224001486|ref|XP_002290415.1|,gi|220973837|gb|EED92167.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,0,1,1,1,0,1,1,0,2.3e-05,0.0,2.23e-05,2.95e-05,3.07e-05,0.0,2.35e-05,2.31e-05,0.0
"gi|224002234|ref|XP_002290789.1|,gi|220974211|gb|EED92541.1|","RM47, ribosomal protein 47 mitochondrial large ribosomal subunit, partial [Thalassiosira pseudonana CCMP1335]",2,2,2,0,0,0,0,0,0,9.35e-05,9.48e-05,9.07e-05,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224002236|ref|XP_002290790.1|,gi|220974212|gb|EED92542.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,3,0,0,0,0,0,1,2.54e-05,2.57e-05,7.39e-05,0.0,0.0,0.0,0.0,0.0,2.69e-05
"gi|224002348|ref|XP_002290846.1|,gi|220974268|gb|EED92598.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,2,2,0,0,0,0,0,2.05e-05,2.08e-05,3.98e-05,5.27e-05,0.0,0.0,0.0,0.0,0.0
"gi|224002607|ref|XP_002290975.1|,gi|220972751|gb|EED91082.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,1,3,0,0,0,0,0,0,1.22e-05,6.2e-06,1.78e-05,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224002805|ref|XP_002291074.1|,gi|220972850|gb|EED91181.1|","DNA polymerase, partial [Thalassiosira pseudonana CCMP1335]",1,2,0,1,1,0,1,0,0,4.17e-06,8.45e-06,0.0,5.35e-06,5.57e-06,0.0,4.25e-06,0.0,0.0
"gi|224002871|ref|XP_002291107.1|,gi|220972883|gb|EED91214.1|",actin like protein [Thalassiosira pseudonana CCMP1335],1,0,0,1,0,1,1,2,0,8.91e-06,0.0,0.0,1.14e-05,0.0,1.14e-05,9.1e-06,1.79e-05,0.0
"gi|224003611|ref|XP_002291477.1|,gi|220973253|gb|EED91584.1|","hypothetical protein THAPSDRAFT_262880, partial [Thalassiosira pseudonana CCMP1335]",1,1,0,1,1,2,0,0,0,5.43e-06,5.51e-06,0.0,6.98e-06,7.26e-06,1.39e-05,0.0,0.0,0.0
"gi|224004001|ref|XP_002291672.1|,gi|220973448|gb|EED91779.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,1,0,0,0,1,1,1,7.23e-06,7.33e-06,7.01e-06,0.0,0.0,0.0,7.38e-06,7.26e-06,7.66e-06
"gi|224004460|ref|XP_002295881.1|,gi|209585913|gb|ACI64598.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,2,2,1,0,0,0,0.0,0.0,1.06e-05,2.81e-05,2.92e-05,1.4e-05,0.0,0.0,0.0
"gi|224005076|ref|XP_002296189.1|,gi|209586221|gb|ACI64906.1|",predicted protein [Thalassiosira pseudonana CCMP1335],3,2,1,0,0,0,0,0,0,1.61e-05,1.08e-05,5.19e-06,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224006033|ref|XP_002291977.1|,gi|220972496|gb|EED90828.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",2,1,0,0,2,1,0,0,0,2.27e-05,1.15e-05,0.0,0.0,3.03e-05,1.45e-05,0.0,0.0,0.0
"gi|224006105|ref|XP_002292013.1|,gi|220972532|gb|EED90864.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,1,1,1,1,0,0,0,3.75e-06,3.8e-06,3.63e-06,4.81e-06,5.01e-06,4.79e-06,0.0,0.0,0.0
"gi|224006508|ref|XP_002292214.1|,gi|220971856|gb|EED90189.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,3,0,0,2,0,0,0,1.1e-05,0.0,3.21e-05,0.0,0.0,2.82e-05,0.0,0.0,0.0
"gi|224006588|ref|XP_002292254.1|,gi|220971896|gb|EED90229.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,1,1,0,0,1,1,1,0.0,4.26e-06,4.08e-06,5.4e-06,0.0,0.0,4.29e-06,4.22e-06,4.46e-06
"gi|224006788|ref|XP_002292354.1|,gi|220971996|gb|EED90329.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,2,1,2,0,0,0,1.01e-05,0.0,0.0,2.6e-05,1.35e-05,2.59e-05,0.0,0.0,0.0
"gi|224006886|ref|XP_002292403.1|,gi|220972045|gb|EED90378.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,1,1,1,0,1,0,0,0,4.87e-05,2.47e-05,2.36e-05,3.13e-05,0.0,3.11e-05,0.0,0.0,0.0
"gi|224008875|ref|XP_002293396.1|,gi|220970796|gb|EED89132.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,1,1,1,0,0,1,0,4.42e-06,4.48e-06,4.29e-06,5.68e-06,5.91e-06,0.0,0.0,4.44e-06,0.0
"gi|224010183|ref|XP_002294049.1|,gi|220970066|gb|EED88404.1|",hypothetical protein THAPSDRAFT_10077 [Thalassiosira pseudonana CCMP1335],0,0,1,2,1,1,0,0,1,0.0,0.0,2.29e-05,6.08e-05,3.16e-05,3.03e-05,0.0,0.0,2.51e-05
"gi|224010241|ref|XP_002294078.1|,gi|220970095|gb|EED88433.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,0,1,1,1,0,0,1,6.48e-06,0.0,0.0,4.16e-06,4.33e-06,4.15e-06,0.0,0.0,3.44e-06
"gi|224011259|ref|XP_002295404.1|,gi|209583435|gb|ACI64121.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,2,2,1,0,0,0,0.0,0.0,1.76e-05,4.67e-05,4.86e-05,2.32e-05,0.0,0.0,0.0
"gi|224011701|ref|XP_002295625.1|,gi|209583656|gb|ACI64342.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",2,1,0,0,1,0,0,1,1,2.02e-05,1.02e-05,0.0,0.0,1.35e-05,0.0,0.0,1.01e-05,1.07e-05
"gi|224012174|ref|XP_002294740.1|,gi|220969760|gb|EED88100.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,1,0,0,1,1,1,0,1.58e-05,0.0,7.65e-06,0.0,0.0,1.01e-05,8.05e-06,7.91e-06,0.0
"gi|224012847|ref|XP_002295076.1|,gi|220969515|gb|EED87856.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,1,1,1,1,0,0,2,0,0.0,9.77e-06,9.35e-06,1.24e-05,1.29e-05,0.0,0.0,1.93e-05,0.0
"gi|224013134|ref|XP_002295219.1|,gi|220969181|gb|EED87523.1|",predicted protein [Thalassiosira pseudonana CCMP1335],2,0,3,0,0,0,0,0,1,1.56e-05,0.0,2.28e-05,0.0,0.0,0.0,0.0,0.0,8.3e-06
"gi|224013216|ref|XP_002295260.1|,gi|220969222|gb|EED87564.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,2,1,0,1,1,1,0.0,0.0,0.0,2.2e-05,1.14e-05,0.0,8.74e-06,8.6e-06,9.08e-06
"gi|224013068|ref|XP_002295186.1|,gi|220969148|gb|EED87490.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,2,1,0,1,1,1,0.0,0.0,0.0,1.82e-05,9.48e-06,0.0,7.24e-06,7.12e-06,7.52e-06
"gi|224014349|ref|XP_002296837.1|,gi|220968474|gb|EED86821.1|","v-type h-atpase subunit, partial [Thalassiosira pseudonana CCMP1335]",1,1,0,0,0,0,1,0,3,2.49e-05,2.53e-05,0.0,0.0,0.0,0.0,2.54e-05,0.0,7.93e-05
"gi|224014802|ref|XP_002297063.1|,gi|220968443|gb|EED86791.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,3,1,0,0,0,0,1,1,0.0,7.23e-05,2.31e-05,0.0,0.0,0.0,0.0,2.39e-05,2.52e-05
"gi|224014907|ref|XP_002297115.1|,gi|220968234|gb|EED86583.1|","hypothetical protein THAPSDRAFT_38312, partial [Thalassiosira pseudonana CCMP1335]",0,2,0,1,0,0,0,1,2,0.0,1.8e-05,0.0,1.14e-05,0.0,0.0,0.0,8.91e-06,1.88e-05
"gi|224015191|ref|XP_002297254.1|,gi|220968090|gb|EED86445.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,1,1,2,0,0,1,0.0,0.0,6.66e-06,8.82e-06,9.18e-06,1.76e-05,0.0,0.0,7.29e-06
"gi|224015411|ref|XP_002297360.1|,gi|220967960|gb|EED86323.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,2,0,1,0,2,0,0,1,0.0,2.27e-05,0.0,1.44e-05,0.0,2.86e-05,0.0,0.0,1.19e-05
"gi|224015667|ref|XP_002297483.1|,gi|220967849|gb|EED86222.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,0,2,1,0,2,0,0.0,0.0,7.39e-06,0.0,2.04e-05,9.75e-06,0.0,1.53e-05,0.0
gi|225382100|gb|ACN89262.1|,argonaute-like protein [Thalassiosira pseudonana],2,1,2,0,0,0,0,1,0,6.82e-06,3.46e-06,6.62e-06,0.0,0.0,0.0,0.0,3.43e-06,0.0
"gi|220977914|gb|EED96240.1|,gi|223993831|ref|XP_002286599.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",2,1,2,0,0,0,0,1,0,8.65e-06,4.38e-06,8.39e-06,0.0,0.0,0.0,0.0,4.34e-06,0.0
"WP_011041475.1,AAZ24190.1,sp|Q488Y9.1|RS4_COLP3","MULTISPECIES: 30S ribosomal protein S4 [Colwellia],ribosomal protein S4 [Colwellia psychrerythraea 34H],RecName: Full=Small ribosomal subunit protein uS4; AltName: Full=30S ribosomal protein S4",1,0,0,0,0,1,1,1,1,2.02e-05,0.0,0.0,0.0,0.0,2.58e-05,2.06e-05,2.03e-05,2.14e-05
"WP_011042191.1,AAZ27772.1","NADP-dependent isocitrate dehydrogenase [Colwellia psychrerythraea],isocitrate dehydrogenase, NADP-dependent [Colwellia psychrerythraea 34H]",0,1,1,0,0,0,1,2,0,0.0,5.7e-06,5.45e-06,0.0,0.0,0.0,5.73e-06,1.13e-05,0.0
WP_238383602.1,ubiquinone anaerobic biosynthesis accessory factor UbiT [Colwellia psychrerythraea],1,0,1,1,0,0,1,0,1,2.1e-05,0.0,2.04e-05,2.7e-05,0.0,0.0,2.15e-05,0.0,2.23e-05
AAZ26543.1,SCP-2 sterol transfer family protein [Colwellia psychrerythraea 34H],1,0,1,1,0,0,1,0,1,2.63e-05,0.0,2.56e-05,3.38e-05,0.0,0.0,2.69e-05,0.0,2.79e-05
"gi|209583430|gb|ACI64116.1|,gi|224011249|ref|XP_002295399.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,1,0,1,1,1,0.0,0.0,0.0,7.43e-05,7.73e-05,0.0,5.9e-05,5.8e-05,6.13e-05
"gi|209583432|gb|ACI64118.1|,gi|224011253|ref|XP_002295401.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,0,0,1,1,1,0,0,6.96e-06,7.06e-06,0.0,0.0,9.31e-06,8.9e-06,7.1e-06,0.0,0.0
"gi|209585750|gb|ACI64435.1|,gi|224004134|ref|XP_002295718.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,2,0,0,0,0,1,0,1.05e-05,1.07e-05,2.04e-05,0.0,0.0,0.0,0.0,1.06e-05,0.0
"gi|209585950|gb|ACI64635.1|,gi|224004534|ref|XP_002295918.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,0,0,0,0,0,0,1,3,6.82e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.85e-05,0.000217
"gi|209586031|gb|ACI64716.1|,gi|224004696|ref|XP_002295999.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,1,0,0,0,1,0,1,3.49e-06,3.53e-06,3.38e-06,0.0,0.0,0.0,3.56e-06,0.0,3.7e-06
"gi|209586252|gb|ACI64937.1|,gi|224005138|ref|XP_002296220.1|",glutamine-dependent NAD(+) synthetase [Thalassiosira pseudonana CCMP1335],0,1,1,1,0,0,2,0,0,0.0,5.5e-06,5.26e-06,6.97e-06,0.0,0.0,1.11e-05,0.0,0.0
"gi|220968029|gb|EED86387.1|,gi|224015318|ref|XP_002297316.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,2,1,2,0,0,0,0.0,0.0,0.0,2.48e-05,1.29e-05,2.46e-05,0.0,0.0,0.0
"gi|220968136|gb|EED86486.1|,gi|224015000|ref|XP_002297161.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,2,2,0,0,0,0.0,0.0,0.0,1.03e-05,2.15e-05,2.06e-05,0.0,0.0,0.0
"gi|220968320|gb|EED86668.1|,gi|224014556|ref|XP_002296940.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,1,0,1,0,0,1,0,1,3.95e-06,4e-06,0.0,5.07e-06,0.0,0.0,4.03e-06,0.0,4.19e-06
"gi|220968519|gb|EED86866.1|,gi|224014439|ref|XP_002296882.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,1,0,1,1,1,0,0.0,0.0,1.05e-05,1.4e-05,0.0,1.39e-05,1.11e-05,1.09e-05,0.0
"gi|220968785|gb|EED87129.1|,gi|224013538|ref|XP_002296433.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",2,0,0,0,0,2,1,0,0,5.55e-05,0.0,0.0,0.0,0.0,7.1e-05,2.83e-05,0.0,0.0
"gi|220968968|gb|EED87312.1|,gi|224013904|ref|XP_002296616.1|",hypothetical protein THAPSDRAFT_263819 [Thalassiosira pseudonana CCMP1335],0,1,0,0,1,0,1,1,1,0.0,1.09e-05,0.0,0.0,1.44e-05,0.0,1.1e-05,1.08e-05,1.14e-05
